"common_name","scientific_name","migration","garnett_movement","feeding_guild","trophic_level","primary_lifestyle","foraging_stratum","habitat_breadth","iucn_status","epbc_status","nsw_status","botw_seasonal_codes"
"Regent Honeyeater","Anthochaera phrygia","Partial migrant","total migrant;nomadic","Omnivore","Herbivore","Insessorial","canopy",5,"CR","CR","CR","2;3"
"Scaly-breasted Munia","Lonchura punctulata","Sedentary","local dispersal","Granivore","Herbivore","Generalist","ground",4,"LC","not listed","not listed","1"
"Olive Whistler","Pachycephala olivacea","Sedentary","local dispersal;partial migrant","Invertivore","Carnivore","Insessorial","ground",2,"LC","not listed","VU","1"
"Redthroat","Pyrrholaemus brunneus","Sedentary","local dispersal","Invertivore","Omnivore","Insessorial","ground",2,"LC","not listed","VU","1"
"Bourke's Parrot","Neopsephotus bourkii","Sedentary","local dispersal","Granivore","Herbivore","Terrestrial","ground",1,"LC","not listed","not listed","1"
"Chestnut Quail-thrush","Cinclosoma castanotum","Sedentary","local dispersal","Invertivore","Carnivore","Terrestrial","ground",4,"LC","not listed","VU","1"
"Australasian Bittern","Botaurus poiciloptilus","Partial migrant","local dispersal;nomadic","Omnivore","Carnivore","Terrestrial","around-water",2,"VU","EN","EN","1"
"Black-backed Bittern","Botaurus dubius","Migratory",NA,"Aquatic predator","Carnivore","Terrestrial",NA,5,"LC",NA,NA,"1;3"
"Shy Heathwren","Hylacola cauta","Sedentary","local dispersal","Invertivore","Carnivore","Terrestrial","ground",1,"LC","not listed","VU","1"
"Brown Noddy","Anous stolidus","Partial migrant","total migrant","Aquatic predator","Carnivore","Aerial","pelagic",2,"LC","not listed","not listed","1;3"
"Albert's Lyrebird","Menura alberti","Sedentary","local dispersal","Invertivore","Carnivore","Terrestrial","ground",1,"LC","not listed","VU","1"
"Blue-breasted Quail","Synoicus chinensis","Sedentary","local dispersal","Omnivore","Herbivore","Terrestrial",NA,4,"LC","not listed","not listed","1"
"Australian Pratincole","Glareola isabella","Partial migrant","total migrant","Invertivore","Carnivore","Terrestrial","aerial",5,"LC","not listed","not listed","1;2;3"
"Southern Scrub-Robin","Drymodes brunneopygia","Sedentary","local dispersal","Invertivore","Carnivore","Generalist","ground",2,"LC","not listed","VU","1"
"Pale-vented Bush-hen","Amaurornis moluccana","Sedentary","local dispersal;nomadic","Omnivore","Carnivore","Terrestrial","ground",7,"LC","not listed","VU","1"
"Barking Owl","Ninox connivens","Sedentary","local dispersal","Vertivore","Carnivore","Insessorial","ground",4,"LC","not listed","VU","1"
"Common Sandpiper","Actitis hypoleucos","Migratory","total migrant","Aquatic predator","Carnivore","Terrestrial","around-water",5,"LC","not listed","not listed","2;3;4"
"White-browed Treecreeper","Climacteris affinis","Sedentary","local dispersal","Invertivore","Carnivore","Insessorial","mid-high",4,"LC","not listed","EN (population)","1"
"Pomarine Jaeger","Stercorarius pomarinus","Migratory","total migrant","Aquatic predator","Carnivore","Aerial","pelagic",3,"LC","not listed","not listed","2;3;4"
"Black Bittern","Botaurus flavicollis","Sedentary","local dispersal;nomadic","Aquatic predator","Carnivore","Terrestrial","around-water",4,"LC","not listed","VU","1;2;3"
"Black-bellied Plover","Pluvialis squatarola","Migratory","total migrant","Aquatic predator","Carnivore","Terrestrial","ground",4,"VU","not listed","not listed","2;3;4"
"Australian Painted-Snipe","Rostratula australis","Partial migrant","nomadic","Aquatic predator","Omnivore","Terrestrial","around-water",2,"EN","EN","EN","1"
"White-winged Tern","Chlidonias leucopterus","Migratory","total migrant","Aquatic predator","Carnivore","Aerial","around-water",6,"LC","not listed","not listed","2;3;4"
"Gray-fronted Honeyeater","Ptilotula plumula","Sedentary",NA,"Omnivore","Herbivore","Insessorial",NA,4,"LC",NA,NA,"1"
"Terek Sandpiper","Xenus cinereus","Migratory","total migrant","Aquatic predator","Carnivore","Terrestrial","around-water",6,"LC","not listed","VU","2;3;4"
"Little Buttonquail","Turnix velox","Sedentary","local dispersal;nomadic;irruptive","Granivore","Herbivore","Terrestrial","ground",5,"LC","not listed","not listed","1"
"Pectoral Sandpiper","Calidris melanotos","Migratory","total migrant","Aquatic predator","Carnivore","Terrestrial","ground",4,"LC","not listed","not listed","2;3;4"
"Torresian Kingfisher","Todiramphus sordidus","Sedentary",NA,"Invertivore","Carnivore","Insessorial",NA,8,NA,NA,NA,NA
"Helmeted Guineafowl","Numida meleagris","Sedentary","local dispersal","Omnivore","Herbivore","Terrestrial","ground",7,"LC","not listed","not listed","1"
"Blue-billed White-Tern","Gygis candida","Partial migrant",NA,"Aquatic predator","Carnivore","Aerial",NA,NA,NA,NA,NA,"1;2;3"
"Pacific Gull","Larus pacificus","Partial migrant","local dispersal;partial migrant","Aquatic predator","Carnivore","Generalist","pelagic",1,"LC","not listed","not listed","1"
"Australian Fairy Tern","Sternula nereis","Partial migrant","local dispersal;partial migrant","Aquatic predator","Carnivore","Aerial",NA,1,"VU","VU","not listed","1;2;3"
"Black Noddy","Anous minutus","Partial migrant","local dispersal","Aquatic predator","Carnivore","Aerial","pelagic",2,"LC","not listed","not listed","1;2;3"
"Aleutian Tern","Onychoprion aleuticus","Migratory",NA,"Aquatic predator","Carnivore","Aerial","pelagic",5,"VU",NA,NA,"2;3"
"Flesh-footed Shearwater","Ardenna carneipes","Migratory","total migrant","Aquatic predator","Carnivore","Aerial","pelagic",2,"NT","not listed","VU","1;2"
"Little Bronze-Cuckoo","Chalcites minutillus","Sedentary","local dispersal;partial migrant","Invertivore","Carnivore","Insessorial","canopy",6,"LC","not listed","not listed","1;2"
